t,S_p,L_p,I_p,S_v,I_v
0.0,97.0,1.0,2.0,3.0,4.0
1.0,93.28432461834697,0.05249867771016611,0.5145128391079332,0.6829541648318438,0.8053274562899714
2.0,91.38594447492454,0.004558725016665672,0.21561295072073144,0.30564964592973526,0.25604729128127757
3.0,89.75140967841416,0.0004780136232230184,0.11247008776671961,0.19155815442642515,0.09567614550754117
4.0,88.75723120588366,4.946198559627137e-5,0.05771945388364746,0.15502855297240176,0.04552749689854784
5.0,87.98362158432855,5.094093106146038e-6,0.031162728973275163,0.14019988488993682,0.028297874737827987
6.0,87.22323008229316,5.523307554933674e-7,0.018400787295620884,0.132597519247789,0.020894751206743688
7.0,86.76906165371071,5.5992110951337906e-8,0.009475214098918973,0.13002809174760113,0.017711336418015804
8.0,86.2861660063994,5.61391224603857e-9,0.005731948933158735,0.12985544904402785,0.016108492083638182
9.0,86.39515739577723,5.997582463013651e-10,0.003277869544748565,0.127331227442081,0.015187608546621984
10.0,88.01594056367234,5.544558817337108e-11,0.0017571687755465807,0.12864072064615872,0.014963992608831182
11.0,88.46510097669685,5.626550652268593e-12,0.0010902456238852582,0.12474597988342141,0.01420564256686193
12.0,88.61574898324172,5.566668517711989e-13,0.0005635892618939115,0.12853068623746738,0.014499707730124854
13.0,89.52608906886192,5.74275402986995e-14,0.00035676800846832216,0.12637625296079646,0.014287640518943216
14.0,89.81867435438492,5.8615059149151186e-15,0.00019460349533458548,0.1275361158230247,0.014279640179576484
15.0,89.91602178107688,6.414058478457943e-16,0.00013973828795064495,0.12526447122135148,0.014033872231540723
16.0,90.77233624075029,6.453874567676673e-17,8.452320963941815e-5,0.12660367671883488,0.014123910681221825
17.0,92.39729830548228,7.040600411959115e-18,4.923146455452823e-5,0.12512242157422673,0.014003153113688823
18.0,92.4872167132527,6.845323457199828e-19,2.8584468195916528e-5,0.127036934143637,0.014244378684496725
19.0,94.23436039442524,8.71655399186236e-20,2.071351061796387e-5,0.12735457308147857,0.014305792487415623
20.0,93.95050280264319,8.84171933018004e-21,1.2455018163276442e-5,0.1277142341791527,0.014347692471181736
21.0,94.5660175358944,9.148416638316644e-22,8.05159631477263e-6,0.12426439636740355,0.013851383050651868
22.0,95.5686964400046,8.404482261386051e-23,4.6565050319757976e-6,0.12620214541890054,0.014059894239519153
23.0,96.08644293928889,9.2494510469289e-24,3.133794917255332e-6,0.12667894422206608,0.014128630544013067
24.0,96.14093195470878,1.0645293938797443e-24,2.099100403530101e-6,0.1271963275686581,0.014308748071297202
25.0,96.36373623390564,1.1543266596472719e-25,1.3112556517335701e-6,0.1279437383699739,0.014247615120662168
26.0,97.03638057884376,1.3371771721183917e-26,9.494253892485231e-7,0.1259806025824491,0.01415892071811182
27.0,97.24594248952131,1.5636923795151185e-27,5.433983683941552e-7,0.12847664307491063,0.014421259274999957
28.0,97.70245730693954,1.6559069831523687e-28,3.4640165939205223e-7,0.12753640685626022,0.014217168551236885
29.0,97.90754703166338,1.7801816018260774e-29,2.1269764117419226e-7,0.12388984648463323,0.013875541457190707
30.0,98.23802838588821,2.1193112679054217e-30,1.5356244056174168e-7,0.12667612609935183,0.014106826016641916
31.0,98.59509130032278,2.1950895225932098e-31,9.48982711686048e-8,0.1271912084393045,0.014318700317353425
32.0,99.04565371829027,2.403692093757968e-32,6.283805333167688e-8,0.12552611785764486,0.014017327660117351
33.0,99.19214997021871,2.5856758045995992e-33,3.612376696394678e-8,0.126431802184706,0.014102940732897086
34.0,99.33992188738206,2.977435314023912e-34,2.6978408842266785e-8,0.12817951918475512,0.014323976492765617
35.0,99.4405811825066,3.4552543850595626e-35,1.783292555417521e-8,0.12740582699400274,0.014168544327926936
36.0,99.56894386079341,3.582594060814002e-36,1.103676952092004e-8,0.12846598414574598,0.014318463467531423
37.0,99.60187457759604,4.216361570195705e-37,7.215714414304116e-9,0.12724336651791907,0.014268419034488054
38.0,99.67059729249014,4.1955077971222043e-38,4.904818282761045e-9,0.12834268490125056,0.014351415562691091
39.0,99.71315618435958,3.9896694120809035e-39,3.0772713791206743e-9,0.12759656334644712,0.014215820975868362
40.0,99.77784396222401,4.399787294511298e-40,1.8058304967128493e-9,0.12763153413451356,0.014243841603504288
41.0,99.8048549132464,4.899921074117801e-41,1.0760158398146853e-9,0.12775865106118936,0.014266397099467858
42.0,99.84490973548547,5.988016897710489e-42,8.218947120540962e-10,0.1291689443389755,0.014489333258417555
43.0,99.88949667276513,6.0348224835271585e-43,4.4822136162485185e-10,0.1252768400854297,0.014112251552640134
44.0,99.90907811055317,6.826271795569728e-44,3.432353875009444e-10,0.1239119787494685,0.013851386538623563
45.0,99.91076448439573,7.65731948839572e-45,2.1932565039527445e-10,0.12486974227177021,0.013899042657703996
46.0,99.9363836651718,7.736643762624455e-46,1.5109162796748718e-10,0.12566421056039992,0.014046497381960515
47.0,99.94401229246613,8.352177563335766e-47,1.0067550939286826e-10,0.1281348272485969,0.014275403862404917
48.0,99.95490883901856,9.354171185115924e-48,6.052103799155134e-11,0.12950481921255164,0.014476583309057522
49.0,99.95365106115794,1.042296997522941e-48,4.056057349038359e-11,0.12769952270322427,0.014289589843916829
50.0,99.96391233632538,1.4418182817247932e-49,3.2847243216676536e-11,0.12690419170459777,0.014166851915216756
