t,S_p,L_p,I_p,S_v,I_v
0.0,97.0,1.0,2.0,3.0,4.0
1.0,98.81612890897372,0.21055662619184015,3.115200841667045,1.986786714043978,2.485817165578957
2.0,99.30333076940849,0.03582508071723377,3.139014740812007,1.1721359302467624,1.2798393635001943
3.0,99.58224248591338,0.0057502442609165426,2.844992718965406,0.7092889975651125,0.635603738918049
4.0,99.7324402071227,0.0009049266551117226,2.500268763362664,0.49214344867045645,0.31461229871201474
5.0,99.82510919189264,0.00014103133908651994,2.1808290197031113,0.39855778756173893,0.16749081605335253
6.0,99.88266716710947,2.1482097141974737e-5,1.8266198311173456,0.34711346655616593,0.0967894273493671
7.0,99.92424707787991,3.343303784109604e-6,1.5776284974178194,0.32960898554330675,0.064584052982914
8.0,99.95148833835339,4.962847425629078e-7,1.304377961342272,0.3222833846996889,0.050471109676224236
9.0,99.96378827763127,7.357128063802291e-8,1.03390746867345,0.31394435127501547,0.042693702268634864
10.0,99.9753302554453,1.0874580737718961e-8,0.8537812794505212,0.30613592315995164,0.03816983304967668
11.0,99.98236637791231,1.6525039782377024e-9,0.7202334323462237,0.307899179582026,0.036477355056611156
12.0,99.9882104228012,2.313681533477988e-10,0.5640370634681666,0.3051419571102645,0.03563293117539594
13.0,99.9925033676227,3.3687852509233765e-11,0.4455159111835286,0.30073586557611787,0.034496113084840865
14.0,99.99495349283441,4.891343343963779e-12,0.3746503618724781,0.30771882110764615,0.03494136659176314
15.0,99.99661325484335,7.101117268219776e-13,0.29386767401117103,0.30544271572998216,0.03479309769881168
16.0,99.9976840059335,9.924643803775946e-14,0.24196418973648678,0.3027314674861919,0.03438396784282839
17.0,99.99843620723209,1.371160793597514e-14,0.17682912502001388,0.30613102646757195,0.03466289108662549
18.0,99.99898217086108,1.9050842441631107e-15,0.14549692296776148,0.31019870966524,0.03535854611425152
19.0,99.99928766179411,2.776763534294056e-16,0.12306583565549836,0.30676675972565937,0.034929155366585106
20.0,99.99950024747201,3.772490116948723e-17,0.0951107638323565,0.30863599608880715,0.03491578964449086
21.0,99.99967740027276,5.002870299389753e-18,0.06828286005620016,0.2970251367077283,0.0336599339115214
22.0,99.99976312046506,6.567051502386459e-19,0.05581837188433081,0.299684549828859,0.03370218860315173
23.0,99.9998384534614,8.796435205835184e-20,0.043033019151172205,0.29921683233112817,0.033797780817304716
24.0,99.99988696778824,1.160562726601393e-20,0.03316404784923518,0.3055344187496296,0.03454744395782589
25.0,99.99992434661965,1.5757901009681438e-21,0.02641420891342647,0.31038255850311075,0.03523454995286868
26.0,99.99994426092377,2.177274696116124e-22,0.020985495596641233,0.3089844164198169,0.03508771727477296
27.0,99.99996511965497,2.7445803614594345e-23,0.01574390317626392,0.30164536828375155,0.03406010826055411
28.0,99.99997508974552,3.454482455546225e-24,0.013263955844672368,0.30602128897296604,0.0346199551922837
29.0,99.99998201409664,4.559547264272357e-25,0.010346419148447528,0.30343119129692886,0.03427602700886941
30.0,99.99998653378911,6.484435979631757e-26,0.008590243406277478,0.2989779174463556,0.03373025030467588
31.0,99.99999190300879,8.110466727713125e-27,0.006438916658507092,0.30305908862288744,0.034167251724689464
32.0,99.99999406182184,9.584926928386463e-28,0.004770875375457654,0.30644211769250207,0.03457375792660912
33.0,99.99999594713705,1.173518798560786e-28,0.003846761332530685,0.3041355240356731,0.03448486085306911
34.0,99.99999707140094,1.5713153573298707e-29,0.0028044675483581355,0.30855399473001743,0.03486259538684985
35.0,99.99999802708363,1.8977895147658328e-30,0.0022169045902059852,0.30361261319558286,0.03445233442127006
36.0,99.99999871398185,2.1786438233120496e-31,0.0016018488894334409,0.30786061523288943,0.034837950459835294
37.0,99.9999990590113,2.9844108191481987e-32,0.001206147030924655,0.3082805672431288,0.03489203681156385
38.0,99.9999993055923,3.513512629638219e-33,0.0009250339765053524,0.3130014258317747,0.03534865966382684
39.0,99.99999947360755,4.777312021561402e-34,0.0007263177344693227,0.31035334361606715,0.03520567043796684
40.0,99.9999996425908,5.900113253673308e-35,0.0005644971502596614,0.3101945094592564,0.034852945466795016
41.0,99.99999977094802,6.964801018098397e-36,0.00043118677809860255,0.3111259907828592,0.03516427564726937
42.0,99.9999998365953,9.104993665565059e-37,0.0003079031889023108,0.312198497938559,0.03531151310467806
43.0,99.99999989359429,1.1266588716728818e-37,0.00025424553952335866,0.30288347282814054,0.034276807544164636
44.0,99.99999992277625,1.361476945278502e-38,0.00018174591729117482,0.3041631087969755,0.034368819012351254
45.0,99.99999994818913,1.6621730343300626e-39,0.00014494200818730314,0.30356589278794605,0.03427009422056642
46.0,99.99999996030077,2.03336694715372e-40,0.0001058537978319089,0.30441271071034004,0.034515921518280014
47.0,99.99999997164781,2.7512282897697234e-41,8.564035122617396e-5,0.3092772998521235,0.03479685068208853
48.0,99.99999998098704,3.297598830626557e-42,6.299946828959745e-5,0.3031387788245456,0.03419611183688749
49.0,99.99999998618148,3.751911398296385e-43,5.133349768634431e-5,0.30905371795245035,0.034800467193921866
50.0,99.99999998974887,4.58033313609918e-44,3.46818762351031e-5,0.31127319731931125,0.0349670867716461
