t,S_p,L_p,I_p,S_v,I_v
0.0,97.0,1.0,2.0,3.0,4.0
1.0,96.67566571480353,0.09401094667295004,1.0898318088661454,1.0441406223528287,1.268736103657097
2.0,96.82481105014665,0.011198369759431025,0.6854280932309157,0.5127713404762116,0.498184729759182
3.0,97.14926471732139,0.0013295919430788411,0.4164188441516037,0.3148484274384369,0.20894694603072395
4.0,97.4988418106928,0.00016304576599272737,0.26739855306759097,0.24170558789192237,0.09886886178318972
5.0,97.81902956662032,2.037204282186495e-5,0.1748707756270168,0.2091739737487482,0.05339464237396777
6.0,98.17335827420534,2.562488243314863e-6,0.11733025568251466,0.19429099859575366,0.03548083443838267
7.0,98.42236818915761,2.9975018618342896e-7,0.07575264078027484,0.18646683858837382,0.027671664599937917
8.0,98.69562152995553,3.5794652986514735e-8,0.048511629384175345,0.1809124244186127,0.024089910943931564
9.0,98.96609245808285,4.657693542095809e-9,0.0362117180197261,0.17972455493460515,0.021926106260002288
10.0,99.14621870983542,5.545308724243461e-10,0.024669743933962127,0.1803127192708912,0.02125641478392156
11.0,99.2797665659645,6.77908733063043e-11,0.017633622004644585,0.1762915157855804,0.020306059268610538
12.0,99.43596293630077,7.99968875582212e-12,0.011789577190078867,0.1770626885000924,0.02022824982000968
13.0,99.55448408878162,8.753249761908281e-13,0.007496632376835343,0.17789290005190594,0.020089114476360127
14.0,99.62534963812296,1.03624656203822e-13,0.0050465071652680115,0.17793574781619137,0.020042950552787896
15.0,99.70613232598825,1.1430095254038484e-14,0.0033867451565894498,0.17990541867555782,0.020258011760683904
16.0,99.75803581026395,1.356487174317122e-15,0.0023159940664490754,0.1772515901681016,0.01991815108944139
17.0,99.82317087497965,1.5846284288977282e-16,0.001563792767281556,0.17992186402435664,0.020134317656948893
18.0,99.85450307703158,1.7933972639440227e-17,0.0010178291392041836,0.17959606095513403,0.020186631822268382
19.0,99.87693416434442,2.129064000875297e-18,0.0007123382054752137,0.17874855218138871,0.0199743802006135
20.0,99.90488923616746,2.331994915671504e-19,0.0004997525278787077,0.1763810677568751,0.019830861374504568
21.0,99.93171713994514,2.764569815659264e-20,0.0003225997268290779,0.17502744694490102,0.01959806310688171
22.0,99.9441816281161,3.082454369582993e-21,0.000236879534801723,0.17652966648631094,0.019795102966293235
23.0,99.95696698084899,4.0145424455340593e-22,0.00016154653866411932,0.176189443456017,0.01976931772256269
24.0,99.96683595215043,4.541687661732029e-23,0.0001130322114985626,0.17990277914430497,0.02019534391999011
25.0,99.97358579108672,5.092152360946306e-24,7.565338039025402e-5,0.18024980434351784,0.020360692246439497
26.0,99.9790145044039,6.128466260148942e-25,5.5739076151373635e-5,0.17926949112405693,0.020090956335378503
27.0,99.98425609682312,6.802580015080936e-26,3.488034486612546e-5,0.17903140639733428,0.020056571247841354
28.0,99.98673604415443,7.593507103572463e-27,2.4910254750454666e-5,0.17880567579980125,0.02009818018285687
29.0,99.98965358085182,9.326920767406105e-28,1.798590352254734e-5,0.17392771454823988,0.01963021724788795
30.0,99.99140975659421,1.1208102097786307e-28,1.3466211171442779e-5,0.17734523620910578,0.01989173643055119
31.0,99.99356108334169,1.2495074703306159e-29,8.096991316288353e-6,0.17935100595677458,0.020154535686176336
32.0,99.99522912462446,1.4199654292691413e-30,5.938177902490978e-6,0.17694731345284095,0.019794084171092335
33.0,99.99615323866784,1.5497049294073562e-31,4.052862790228283e-6,0.17833444329264914,0.019961210601484272
34.0,99.9971955324526,1.93491970529129e-32,2.928599221651916e-6,0.17854946900739374,0.019984382525146362
35.0,99.9977830954096,2.1577992665704225e-33,1.9729162277583692e-6,0.17962757746180366,0.020131355137990747
36.0,99.9983981511115,2.4224749628688414e-34,1.286018230661792e-6,0.17896060767414412,0.020050789313624424
37.0,99.99879385296896,3.0458716527561336e-35,9.409890457876587e-7,0.1796793297354847,0.020025148543822324
38.0,99.99907496602384,3.430963226074804e-36,6.944075522884989e-7,0.178750184733838,0.019974212161625635
39.0,99.99927368226602,4.203175863849456e-37,5.263921074760651e-7,0.18110043329900136,0.020273211638428414
40.0,99.9994355028496,4.816969110947375e-38,3.574086625466156e-7,0.18125597059891496,0.020385626447250255
41.0,99.99956881322198,5.345280307735411e-39,2.2905245523674864e-7,0.176482835275044,0.019806310963514272
42.0,99.99969209681106,6.5716393791513714e-40,1.634047807925914e-7,0.17956687319810272,0.0201157044928005
43.0,99.9997457544608,7.085597622952632e-41,1.0640627522693159e-7,0.1781128798356028,0.019930168654535178
44.0,99.99981825408346,8.452547308580995e-42,7.722367900625259e-8,0.17825367810838622,0.01988788994135583
45.0,99.99985505799145,1.0103850865351717e-42,5.1810591978350535e-8,0.17521119983043854,0.019598323042439206
46.0,99.99989414620251,1.2414437711837337e-43,3.9699371641375193e-8,0.17828823662865056,0.01997326945665897
47.0,99.99991435964769,1.4885105505476811e-44,2.8352116949523803e-8,0.17875206910654468,0.02015968159016276
48.0,99.99993700053211,1.724185323302152e-45,1.901328522287358e-8,0.17880988329982822,0.02003022622441858
49.0,99.99994866650252,1.890684343753103e-46,1.3819190223521568e-8,0.1784722293379004,0.02002552548756959
50.0,99.99996531812363,2.3079090444402672e-47,1.0250937526192563e-8,0.1788166038518843,0.01997089040027097
