t,S_p,L_p,I_p,S_v,I_v
0.0,97.0,1.0,2.0,3.0,4.0
1.0,5.166456940731519,67.93967939565385,29.674917961007445,2.5271704496670058,4.279960886445031
2.0,7.487289000749939,58.012436554223555,39.41643556075994,1.5547743561865497,4.024242066050345
3.0,10.975098606188697,54.35457310733288,42.555153487772365,0.8350540006305336,3.3466671565802364
4.0,15.31516306248666,52.83870735985393,43.42739642362928,0.4578996943604344,2.7837189033266845
5.0,21.375253349305908,51.92683849156273,43.369485379212115,0.22720563982246939,2.042824862040463
6.0,27.265603267539543,50.78161651933085,42.910841123412226,0.12618358242274863,1.5576999324583174
7.0,32.45212017203378,49.759231913076015,42.36369923455959,0.07122643127529885,1.181554103809228
8.0,39.031059917705505,48.20055015431845,41.50731373606815,0.044802903559824636,0.8780390542055884
9.0,43.25930862390087,46.10781473003631,40.240653138142655,0.032464630742636,0.6463473585787471
10.0,46.61359048987596,44.40196568691281,38.77584483884269,0.026484763686613177,0.522081850007365
11.0,48.823837535212256,43.56370273912602,37.30521328777923,0.02452051043498372,0.42815748013943783
12.0,51.34199664258231,42.233785594200086,36.25505163153537,0.02414257937283211,0.35494244663374447
13.0,53.68787973833691,41.15137280102098,35.27934369988707,0.024988118349973238,0.3300707301991836
14.0,54.81873735194034,39.794696018960956,33.91136049797627,0.024553768019217926,0.27367054388303946
15.0,55.395327399785444,39.022346538416734,32.631176124255916,0.0241634276809626,0.251598126557443
16.0,56.39320278878406,37.64777490942467,31.637578693692596,0.02384608438453054,0.22798962793027672
17.0,57.276214585371285,37.3356906498609,31.238930170019728,0.024427514134789975,0.22241244704630447
18.0,56.850515587874256,37.33480796834116,30.174396279381533,0.024394546448549742,0.21618333550277502
19.0,56.07603718010494,37.229934566092005,29.97797914284815,0.024702378643390522,0.20309215531736338
20.0,58.07591689627928,36.412457353987335,29.22305557216427,0.02402281143075995,0.19634207937980894
21.0,57.65289443983944,36.34837020257525,28.885136086757406,0.024352299182790013,0.19679604701977285
22.0,57.20493572790722,36.31424413701447,28.80924153939235,0.0250077264625319,0.19685097829455253
23.0,57.93052886076549,36.67580002910317,28.68887767725161,0.025628952959749027,0.20007495255318053
24.0,58.18107999577243,36.27800203202185,28.8060554401082,0.024564886110222225,0.19312236130452873
25.0,57.57594943112211,35.81709869736022,28.57130202762391,0.02460539482206879,0.1932796831971522
26.0,57.570756077828115,36.89002226072745,28.54497341004011,0.025934900583495932,0.19831309563950358
27.0,57.94170735744043,36.8453616542613,28.800949819851112,0.02546992546987877,0.20429756564153573
28.0,57.950051357593495,37.91657826367433,29.08041115195153,0.02576632962599788,0.20790003537689136
29.0,59.032876589473304,37.22647870932392,29.160040569169063,0.026692851066107765,0.2143640069410526
30.0,58.159322235497754,36.99182168411296,29.558575281707693,0.025974291016182177,0.20424261982522682
31.0,57.609137092004566,36.969910850336724,29.66497668114325,0.02633058594737262,0.211468847214886
32.0,57.9160775425664,37.06685202038478,29.27087725527108,0.025531932438446377,0.20661259948303545
33.0,58.66503034714909,37.003400533183544,29.34265412301517,0.025769643441050538,0.20870132049935686
34.0,58.12460909252514,36.80865293211336,28.906334613428427,0.024998052331778157,0.20332204300435838
35.0,56.95274892142213,36.77574233224062,28.987227404261155,0.025961216262874506,0.20747035141940973
36.0,56.306869376412706,36.37173549107462,28.908162738602286,0.02552532530472055,0.19401089723318646
37.0,56.93538541324235,37.019790174973764,28.627801762852123,0.02583225384304212,0.2107987626990144
38.0,58.04165567843835,37.12511311390983,28.789173596062604,0.02504081658780204,0.19839699208971312
39.0,58.037841403093644,37.33425613120994,29.30444558032719,0.025430024703456074,0.2019378965907948
40.0,57.68224766171847,37.20597511933489,29.43779143218824,0.026133033359083634,0.20613230772603935
41.0,58.0186015090124,36.80601257475424,29.129586254059696,0.025336230420148032,0.20911829087819575
42.0,57.65194172902331,37.01300222941796,28.902043052180034,0.0255778165209463,0.20197541265113456
43.0,57.81815046738591,36.545354244949046,29.14103262363381,0.02485583522080179,0.199140274138302
44.0,58.69858106199068,37.48471833548039,29.183161297541833,0.0260812306851467,0.2086818496402627
45.0,58.21422705650645,36.483313303939156,28.83865885516111,0.025661590441294423,0.20299662010661862
46.0,57.72206438589805,37.670756001203706,28.970258302078644,0.0255687725240213,0.2109891286563554
47.0,57.70580938676999,36.925270264542604,29.24710901740203,0.025749601122610214,0.2129082443325469
48.0,58.01594961249293,36.79309014826871,29.308436061052973,0.025630926959530727,0.20617658287075097
49.0,57.44997916417336,36.42591977199944,29.01081922334883,0.02521619003573248,0.1946048694327841
50.0,58.23032810833927,36.49890819364038,28.836523160858814,0.025238846998054575,0.1914128138748364
