t,S_p,L_p,I_p,S_v,I_v
0.0,97.0,1.0,2.0,3.0,4.0
1.0,3.657263121962548,66.91275280007281,29.429984077964704,1.7697810976801451,3.0008813109794
2.0,4.846201659534536,56.27584298936637,38.87795535109909,0.9034364732050096,2.351707492646879
3.0,6.513954574124957,51.95572304137207,41.53032238450292,0.44587612681882915,1.7984371425444852
4.0,8.821393082705407,49.39165151958401,41.78695539771057,0.22105158091296803,1.3388175736281682
5.0,11.754951521222717,47.19140503916569,41.0536434396116,0.11249761788150985,0.9763183503951209
6.0,15.297667639719212,44.896407135626404,39.80592522465437,0.06133777067134676,0.7128342486582362
7.0,19.1941612636798,42.534771007578826,38.27106772874141,0.037281540661364604,0.5290035198026495
8.0,23.59062374380439,39.95844316670729,36.45093308948832,0.026049778692154704,0.4012823731195256
9.0,27.449652951137296,37.93873377710591,34.611613271756795,0.020978261881649345,0.31810751912500373
10.0,31.373135657487122,35.82714572089315,32.79971862161975,0.018400268333396957,0.2556645248248211
11.0,34.6016965075012,34.261783914204656,31.136519578294113,0.01753419272265486,0.2187322410663817
12.0,37.4747421140423,32.85094685785621,29.674311028101496,0.01709151433915092,0.1906580599230217
13.0,39.553170116743004,31.976871887709788,28.469957995547187,0.017064897762910328,0.17217443093706797
14.0,41.28120276023265,31.229894193089354,27.488903046678,0.017312386802421195,0.15964097367243413
15.0,42.68869188284474,30.616337996007672,26.694970121147584,0.017373475757682687,0.15094713127724219
16.0,43.82125683659035,30.13246918242426,26.046273980985447,0.017357019929787665,0.14351337662756186
17.0,44.831867094074646,29.65489474539813,25.513238160527177,0.017263171984382705,0.13734802543918556
18.0,45.61554782978467,29.308950850630445,25.075501319584852,0.01761834778774048,0.13622463837854973
19.0,45.965991001594475,29.25507218273996,24.778936815665574,0.017442281193028656,0.131468277637862
20.0,46.394776431174655,29.0450385853738,24.56018498345163,0.017517034468030906,0.13003918494379155
21.0,46.94461143035935,28.77557209815758,24.279816471483045,0.017556803937878784,0.12855453599925354
22.0,46.7669488928765,29.0004303801378,24.232620726985736,0.017695182639056155,0.128482055356315
23.0,47.15724463431711,28.715669636919227,24.12708572876366,0.017613393437476945,0.1273239700314803
24.0,47.46753515456305,28.510462394906614,24.022002450530373,0.017575974703987557,0.126293951493436
25.0,47.20018162794944,28.814810255780557,23.985008116270027,0.01781066785002297,0.1274659978566712
26.0,47.23195503891279,28.808266329107294,23.9597786319799,0.01796847215534892,0.12880597811582412
27.0,46.86985738256143,29.061121160855464,24.069021456583112,0.01813594911703144,0.13016825897056475
28.0,46.520946723966986,29.298445401832478,24.18060787420063,0.018066358953495128,0.13020701161883938
29.0,46.614269655506305,29.144107270358504,24.241623074135234,0.01827989859126273,0.13226155048844945
30.0,46.38569269808514,29.307851674959355,24.30645562695556,0.01800972946226981,0.1305367092058891
31.0,46.445689837703405,29.173268100079138,24.381042062217485,0.01781141787893628,0.12914894148743858
32.0,46.663976237038504,28.99900584414502,24.33701791881645,0.017817240446800296,0.1290703203027193
33.0,46.86519677299376,28.90467946586685,24.230123761139396,0.017908977036442137,0.1299650419591543
34.0,46.58477710207719,29.21897800671521,24.196244891207602,0.018022763402123228,0.13045869418752465
35.0,46.90752568682585,28.89485743890122,24.197616874272924,0.01773573477070985,0.12819095853621984
36.0,46.66490635184235,29.160379507384317,24.174714140773357,0.018084965633883614,0.13031890838092056
37.0,46.390364113633126,29.3559800261375,24.253655860229387,0.018310298686769984,0.13214625700599505
38.0,46.41201845032015,29.267716563160437,24.320264986519483,0.018090026707377072,0.1309518066505393
39.0,46.6472660840673,29.035679009145575,24.31705490678707,0.017862476122156717,0.12926257220710233
40.0,46.386704487728615,29.266532690837526,24.34676282143384,0.018053404267490816,0.13050104477056326
41.0,46.65231528612338,28.99766447890265,24.350020234974,0.017823331106777883,0.1290074444046143
42.0,46.76952089686083,28.985867306993757,24.244611796145414,0.017763617777084326,0.12847301242172038
43.0,46.83139787449018,28.96271921716013,24.20588290834968,0.017922321243394677,0.12931783624381105
44.0,46.99294359698403,28.86184787785445,24.145208525161546,0.017864011532407152,0.12893837845403944
45.0,47.03615085510183,28.904436962021784,24.05941218287637,0.01813223164393735,0.13082004639424116
46.0,46.60490485342699,29.206437382173068,24.18865776439996,0.01799525486786708,0.13013314382988841
47.0,46.606142644405494,29.102148150449164,24.29170920514546,0.01786464305809266,0.12912326531104432
48.0,46.72335259734389,29.041968807510276,24.234678595145837,0.01807771017866441,0.13069503980680872
49.0,46.68198928787439,29.093154705973294,24.224856006152272,0.01781948060499339,0.12854430886743143
50.0,46.583548544080465,29.20502585522666,24.211425600692912,0.018103770118871834,0.13070286307662107
