t,S_p,L_p,I_p,S_v,I_v
0.0,97.0,1.0,2.0,3.0,4.0
1.0,4.176875210098244,67.4389827491274,29.542763810054822,2.0175128322762457,3.4175865719708236
2.0,5.722389958353975,57.10085238679397,39.17293916003077,1.0728456498213392,2.7892191861471574
3.0,7.942320439393288,53.25348155426521,42.03598187710962,0.5371047090002006,2.163622429359198
4.0,10.953795559274827,51.34545175140427,42.607204223439055,0.2629989379110155,1.594708253842713
5.0,14.607506291711802,49.58664559797241,42.23342221632301,0.13625643172554242,1.1826510153504426
6.0,18.93111668017944,47.84916515651876,41.4060006006927,0.07193985454487377,0.843855840324671
7.0,23.817582650800777,45.74626118477119,40.214737183211604,0.04338522606005875,0.6248889793905923
8.0,28.848622555614213,44.046549467262345,38.68824218367725,0.03029452714196903,0.47844862138694916
9.0,33.08986288813204,42.02980328109638,37.17277187309732,0.023760370311361134,0.37707210647823314
10.0,37.57066215553414,39.950166489240345,35.64789564394445,0.02095155700621274,0.3075259003382192
11.0,40.623620971541854,37.83725164110926,33.960278171064644,0.0196984270038607,0.25110949290833035
12.0,43.301450254968934,36.58524270865303,32.34957816683798,0.019497848636624543,0.2197647346524248
13.0,46.04069454189192,35.271568689625276,30.885993296598215,0.01929681786872082,0.20234213367027504
14.0,47.347310470500965,34.72858383594476,29.78142423180983,0.019702545771254857,0.1852733148749585
15.0,48.14049703950947,33.70974510998202,29.100602665393744,0.01958820449667881,0.1737210378709627
16.0,49.321668172236016,33.34275279900319,28.222227333624335,0.019530895451183566,0.16663409071593696
17.0,49.93164871133758,32.95391483916068,27.477823910615548,0.019367196071372713,0.15848361488454354
18.0,50.81952900228862,32.60037814450723,26.995832702604233,0.019659003807278357,0.16028139951949932
19.0,51.08764984828255,32.723617393862824,26.752896667208702,0.019682868183558282,0.15140748598961262
20.0,51.313141598179136,32.189927364391984,26.574296984303437,0.01978508678163969,0.148703962944114
21.0,52.12346454456724,31.88402198626103,26.1757774420011,0.01994472809784057,0.1488173540092918
22.0,51.18914321056954,31.991761390096688,25.967825747474752,0.02005334392001367,0.14731127967713725
23.0,52.35899407416541,31.66751988632909,25.90990579134307,0.020003748367707623,0.14867815314382377
24.0,51.80042262218543,31.413103728055802,25.95265740260116,0.01950006339563343,0.14356023255117312
25.0,52.092821033255376,31.904836659498017,25.82154968400002,0.020345905318826647,0.1472209393938534
26.0,52.176660015851574,31.871781640994037,25.889854720157192,0.020132841813737923,0.14849383500090807
27.0,51.18243283239411,32.09048019997027,25.877171786543855,0.020668822749877063,0.15238426714747488
28.0,51.350743112721034,32.50204682713301,26.132696495290144,0.02046516013211408,0.151828158229445
29.0,51.894317711095965,32.402456199029004,26.319859609117277,0.02090792751828013,0.15366962497103573
30.0,51.22232513681508,32.54691283703224,26.215631858185287,0.020547013043886255,0.1523492047295543
31.0,51.63641641220234,32.44958308656655,26.301327032361133,0.01954332284376118,0.1490938342316926
32.0,51.78752648384313,32.28354006493649,26.43800941351671,0.02008300831882348,0.14650620636393022
33.0,51.800855897393355,31.939748723927956,26.42913445702824,0.020037699707783203,0.14789973004967336
34.0,51.511212702080044,32.10115182957261,26.240386684366026,0.020281576145933115,0.1511868265431467
35.0,51.817686885419114,31.79889345716658,26.128326135827514,0.01985071499232074,0.14681631745927168
36.0,51.25085352859204,31.71208574704302,26.041973702174033,0.020298739982961743,0.1505626898656482
37.0,51.357395261698095,32.34951137709721,25.923635248690456,0.021127857659509242,0.15230228159292825
38.0,51.379113564641926,32.65168682913463,26.17893208816505,0.020684847104114487,0.1503311693036112
39.0,51.66936819889339,31.995155975374285,26.16836959738653,0.020010574510598234,0.14985616087781584
40.0,51.44917175448775,32.59454264893354,26.305702965126432,0.02058127659503589,0.1536901559904994
41.0,51.74333519695963,32.25941943459541,26.28827382841792,0.020082657801797063,0.1471538481259828
42.0,51.708188966127594,32.118701396956645,26.151620297894905,0.01997683063355543,0.14751511450166657
43.0,51.842874086373484,32.04340181222852,26.03315859468821,0.020427871647760984,0.14798172905090434
44.0,51.90072163879481,32.047463582795075,26.146868560269606,0.02009553168392823,0.1477406165098636
45.0,51.49495121944993,32.12186353450736,25.990928519330406,0.02071889135588305,0.15284611754239863
46.0,51.9352508205823,32.42257871380088,26.16403473162536,0.02048096506745432,0.1504723622015343
47.0,51.94314267328326,31.939298799771855,26.35506711160762,0.019916428077270763,0.14648437897926628
48.0,51.805988670254685,31.973671726489073,26.11578614105618,0.02041344549387757,0.15174393857461121
49.0,51.36848081258056,32.174534746370064,26.14780155668633,0.01997366631130407,0.14572249734205922
50.0,51.3042100913351,32.67604678126315,25.98089259973399,0.02059932169149608,0.15332953020231566
