t,S_p,L_p,I_p,S_v,I_v
0.0,70.0,20.0,10.0,3.0,4.0
1.0,28.046921683872597,51.21107339170729,26.854051150412623,2.224605794568352,3.259249929166786
2.0,30.89128243231442,40.46289322712362,36.5304343298918,1.4330687213779525,2.454940464237067
3.0,37.54758097990282,33.43892292759186,39.260739031273616,0.8983844921791102,1.83651665071989
4.0,44.71724003300395,28.903808872358567,38.82894583344638,0.5513163451258691,1.3382240500072005
5.0,51.985926706218585,24.92511386808349,36.940715655982686,0.34812061060776534,0.9948651381854395
6.0,58.8057591123132,21.79550304022094,34.08894847596346,0.22268745857975097,0.7319576431611574
7.0,64.63708727039851,18.500154723642478,30.995564520580253,0.14602798446819665,0.5499601158059246
8.0,69.65966789764988,16.001521498344196,27.696917835468426,0.09881207474974474,0.4149297937951149
9.0,74.1894811578178,13.483146944538678,24.38264000944065,0.07104650743535758,0.3265636323247132
10.0,77.57136547070627,11.89627622260586,21.441984463388618,0.05494408739617947,0.2696040777405194
11.0,80.33759032627034,10.174378129918825,18.671956764244257,0.04415828607717635,0.2236541320625756
12.0,82.42123492141921,9.44431553494295,16.25531152277345,0.03843581369862669,0.19925165004813544
13.0,84.15486341637714,8.661046377047372,14.500274486958107,0.03490133136251363,0.18032440400634528
14.0,85.36458534179559,8.189031697042886,12.966234053902902,0.032497434618186896,0.16747443770405696
15.0,86.31557503213692,7.744518888141004,11.813812161517884,0.03097622256517532,0.1584954567854764
16.0,86.99419795299062,7.567213748114981,10.964312329964377,0.03048874037490107,0.1538707251491946
17.0,87.49968330720358,7.3298875392279905,10.263774341069977,0.02942669654663467,0.14920254037054564
18.0,87.86903154432002,7.234379512592081,9.799602757923717,0.029360573772506844,0.14578274174184724
19.0,88.05495843084147,7.247321907407494,9.420491146098202,0.029326402705904427,0.14546163518278105
20.0,88.29810785017139,7.2083208482834635,9.14863369757866,0.029151012190091814,0.14349835610548278
21.0,88.4648430015869,7.0868899000591785,8.961148584126883,0.02889839955590669,0.14092583475950773
22.0,88.4537776034261,7.031291400195709,8.790924915869539,0.02933484492903994,0.14258675001256005
23.0,88.52345566157625,6.950854538078444,8.623527721019503,0.029180463385411623,0.14155591920956734
24.0,88.65754072852434,7.08516842570019,8.617805480267032,0.02961798774566878,0.14300996260615328
25.0,88.61335470175027,7.140819573762305,8.607400429225143,0.02928228887579129,0.14116547032175725
26.0,88.63108921487692,7.031089801979302,8.573967855234017,0.02879328796088958,0.1396850000947079
27.0,88.63386582225698,6.940738163102551,8.526699828028242,0.02901676971270884,0.1402207637252815
28.0,88.77454661231421,6.945614851759725,8.451025938878592,0.02914485136420631,0.1407580907614066
29.0,88.76896733251294,6.937449716063306,8.457216982057826,0.028914783423119216,0.1395203304096135
30.0,88.7475127366666,6.984845462345994,8.378916503418399,0.029055241048506215,0.14001962472741203
31.0,88.8592738743896,6.962420943696589,8.402746006185387,0.02903172470214335,0.14007127716044077
32.0,88.84431043764259,7.118213442673901,8.37937310941903,0.028932144134030124,0.13893089234054107
33.0,88.82795646394624,6.802653670667045,8.393951469447906,0.028974589742685124,0.1396097221440245
34.0,88.71443833645243,6.858083754951802,8.30999694345756,0.028483957881498784,0.13682300182953383
35.0,88.86617207939554,6.853925501297382,8.310728853159441,0.029049330222660395,0.13994342084472763
36.0,88.77468097127739,6.953124226184597,8.289277282672677,0.028670341443137366,0.13796269930453953
37.0,88.90999858933037,6.8734419329965455,8.301390157796138,0.028482654533524953,0.13707967846802713
38.0,88.93396274709627,6.895885214967343,8.285877124088536,0.028476496853445662,0.1370489892757435
39.0,88.93994622738752,6.859965309729065,8.34409858515528,0.028451696777445815,0.13736868742710065
40.0,88.88029800728253,6.855986936730267,8.23492185810701,0.028895256627621196,0.13869059639741435
41.0,88.81389767058232,6.947209895442281,8.228874668611407,0.028715422714873744,0.13776378350987692
42.0,88.84324709815668,6.952058764618905,8.25069512869501,0.028675035988829912,0.13768950089302148
43.0,88.93384612598818,6.92766557279902,8.24741254566476,0.029140081981647647,0.1402172043813753
44.0,88.85982595325765,6.9590966897385576,8.265549073106467,0.028987892781672978,0.13964087133426792
45.0,88.9725032984291,6.86717641297752,8.324177981577122,0.028872763019493965,0.13863359860405056
46.0,88.92898455682877,6.947260767932374,8.311776629284887,0.028994860216901043,0.13945990616794596
47.0,88.84432722635951,6.9476515899310405,8.326108962113505,0.029202392326733127,0.14059393566411688
48.0,88.8083580454902,6.974235706858794,8.305764931579805,0.029478945498856237,0.14179426061673833
49.0,88.76524791477405,7.1278297570795806,8.346486985315995,0.02925611690277573,0.140268564689119
50.0,88.8630346334156,7.058767828716718,8.355086907694902,0.029230151533187795,0.14044210107953362
