t,S_p,L_p,I_p,S_v,I_v
0.0,70.0,20.0,10.0,3.0,4.0
1.0,22.126209955199357,46.53514081246823,25.374088385168633,1.5712711588880754,2.3025343499091147
2.0,23.517506695791155,34.901142625724766,33.77740344220885,0.870863006716245,1.4945205483167854
3.0,27.639965993971515,26.957963446778447,35.35132957754984,0.493365871437971,1.0025607243819776
4.0,32.831713197764245,21.499427916703123,33.69562938397236,0.28776346989303103,0.6970075408506256
5.0,38.62934420615241,17.27927801346724,30.67685034367345,0.17010961603462293,0.4853525234857011
6.0,44.69445094860863,14.060772000645258,27.10685193455553,0.10589837602552052,0.34826083650880246
7.0,51.0917506674476,11.308915982469538,23.492556106171577,0.06988184711085926,0.26141427268217504
8.0,57.039864400461965,9.480991328468225,20.21054061817072,0.04965694119650425,0.20717034648403831
9.0,62.6646899966461,8.1035404042225,17.273071278981426,0.03733892304519896,0.1674360007292022
10.0,67.24994806182023,7.03708187075539,14.837531399546261,0.030438720302341536,0.14448470375435102
11.0,71.42170287733579,6.296480727633698,12.826859342541029,0.026804164586892554,0.1310029956405933
12.0,74.68592844296744,5.786140353900889,11.239950817633652,0.024260762420030158,0.12055899925911799
13.0,77.24603021864587,5.4190715478050775,10.06439613600937,0.02250814602825784,0.11291386654099167
14.0,79.12107052759758,5.218073953055466,9.168671689223682,0.02152860859948757,0.10724220749798535
15.0,80.68538666509536,5.029814671255176,8.477373195684056,0.021208954995619447,0.10436666604457459
16.0,81.7630697171536,4.8989035781338846,7.883899917832536,0.020713047861967433,0.1012865394051023
17.0,82.66880114943181,4.83902751409059,7.48527535316507,0.020509397578445675,0.10006230315159506
18.0,83.24008024840907,4.761506641371858,7.1731028118131075,0.02028541595842172,0.09865834567507863
19.0,83.6393908956029,4.763863673712641,6.996201957518995,0.020416789052405973,0.09871788886246136
20.0,83.88780957098189,4.722575005691704,6.82811635339478,0.020184115674722582,0.09752848244822288
21.0,84.26320722203765,4.695688949408305,6.6918775927780345,0.020255105568218166,0.09689011043564513
22.0,84.36899651997184,4.731586267071545,6.576037259976362,0.02018395180654258,0.09654856334220925
23.0,84.59178385055431,4.682991461902178,6.527502732199984,0.02015061469693202,0.09630706640296363
24.0,84.6560898528822,4.665051577789342,6.436202021909153,0.020165559830119098,0.0962302328847291
25.0,84.64533341366845,4.645188538602735,6.41142021650728,0.020331859426409346,0.09671376154695645
26.0,84.74365228607427,4.642186989722566,6.381787684717627,0.020337195038750255,0.09698970209001466
27.0,84.84646460815368,4.639986677658966,6.360457036811983,0.020124219222566044,0.09601216309834637
28.0,84.841943905013,4.625313470511779,6.322938915459781,0.020140922615551497,0.09592444999945457
29.0,84.70658533285008,4.672033115518028,6.322927607623089,0.020034321818634827,0.0950485366391327
30.0,84.73770935349594,4.664203882851258,6.295927229554362,0.020166665214878362,0.09574327057377657
31.0,84.84343845861913,4.597429377335627,6.287729948887666,0.020158778057034414,0.09582960448814735
32.0,84.80071668862254,4.591682681032091,6.253534447322222,0.0202540284731454,0.09620502815262044
33.0,84.8797041632606,4.621648574191251,6.235688384026714,0.02026876833057352,0.09649165546271798
34.0,84.95963084914136,4.651429368223509,6.285612648992223,0.020319218911487476,0.09650373593964971
35.0,84.67201939487688,4.724589573087326,6.311364192154054,0.020312203675768522,0.09642714196903693
36.0,84.75111904415323,4.722760254401688,6.34578395914387,0.020325597579366583,0.09631870848461159
37.0,84.80094980270292,4.660244437840403,6.338948787002579,0.020437950746325418,0.09722650874938107
38.0,84.81769348090403,4.645597141088573,6.3503561199131235,0.020335444471659848,0.09698035665597508
39.0,84.85126119264635,4.644423477210581,6.334354216925487,0.02055117555022548,0.09734856701070468
40.0,84.85390837093806,4.639214385700713,6.337854322457524,0.02029780905058693,0.09653098697109543
41.0,84.85763470499722,4.615311678310842,6.332596516810035,0.02021706675877744,0.09589661643606875
42.0,84.79204297410472,4.635218796534307,6.296599007678342,0.02026765072957298,0.09604820152287001
43.0,84.90932654374669,4.72783986151444,6.298654401482472,0.02026935802185572,0.09639557229720155
44.0,84.76270418125767,4.667275832325713,6.313691463530324,0.02026355775493484,0.09621730286156938
45.0,84.7334395008601,4.731446667376866,6.33768914495179,0.020255359362968524,0.09610373678136928
46.0,84.62151916476844,4.682748968444458,6.334517171565633,0.020294886143230023,0.09639807139906827
47.0,84.65244175269167,4.664643155035206,6.332978655496778,0.020321647473082606,0.09637627220245859
48.0,84.65937158955174,4.641243576681613,6.3259620595380035,0.020300962191022853,0.0964631306954985
49.0,84.52929158666367,4.670790513360121,6.347550483377729,0.0204497925445049,0.09713148512379968
50.0,84.69472097863691,4.710818013180041,6.342101402660555,0.020350010086382427,0.09662375201764128
